Date,Open,High,Low,Close,Adj Close,Volume
2017-10-31,110.428802,110.428802,110.428802,110.428802,87.988441,0
2017-11-01,112.051430,113.538841,111.735924,112.862747,89.927773,3844260
2017-11-02,112.682457,112.952896,111.916214,112.231728,89.424980,2209121
2017-11-03,112.637383,112.682457,111.465485,111.961288,89.209511,2103724
2017-11-06,111.780998,112.276794,111.555634,111.690849,88.994026,1332796
2017-11-07,112.457092,112.547234,111.014755,111.104904,88.527145,1917292
2017-11-08,111.195045,111.645775,110.744316,111.149971,88.563049,2085015
2017-11-09,107.724426,109.797783,106.687752,107.003258,85.259003,4666242
2017-11-10,106.372238,106.597603,105.110191,105.425705,84.002022,3441802
2017-11-13,105.470779,105.966583,104.434097,105.515854,84.073860,2755842
2017-11-14,105.831360,105.921509,103.938293,104.479172,83.247841,2461822
2017-11-15,103.667854,103.803078,102.495964,103.487564,82.457748,2629371
2017-11-16,104.208733,104.569321,103.532639,104.389023,83.176003,2426753
2017-11-17,104.569321,104.884827,103.442497,103.577713,82.529564,2972551
2017-11-20,102.766396,103.667854,102.450890,103.532639,82.493652,1992530
2017-11-21,103.262199,104.073517,102.495964,103.217133,82.242249,2487451
2017-11-22,103.081909,103.442497,102.045235,102.225525,81.452156,2479901
2017-11-23,101.774796,103.307274,101.414207,102.676254,81.811295,1881610
2017-11-24,102.811470,103.983368,102.180450,102.811470,81.919029,1627075
2017-11-27,102.541031,103.487564,102.045235,102.045235,81.308502,1888294
2017-11-28,102.180450,102.946693,101.910011,102.946693,82.026779,1937607
2017-11-29,104.343956,104.524246,102.946693,103.217133,82.242249,2448303
2017-11-30,103.397423,104.659462,102.721329,102.946693,82.026779,3731878
2017-12-01,103.442497,103.577713,101.098701,101.910011,81.200752,4131842
2017-12-04,103.217133,103.487564,102.541031,103.352348,82.349998,2283238
2017-12-05,102.135376,103.036835,101.910011,102.270599,81.488068,2875435
2017-12-06,101.098701,102.405815,101.053627,102.135376,81.380325,2458607
2017-12-07,102.270599,102.901619,102.045235,102.811470,81.919029,1829684
2017-12-08,103.622787,104.434097,103.262199,103.848152,82.745049,2495207
2017-12-11,105.335556,106.101799,104.884827,105.470779,84.037941,3201169
2017-12-12,105.786285,106.011658,104.524246,105.560921,84.109756,2331748
2017-12-13,104.929901,105.515854,104.704536,104.794685,83.499245,1755087
2017-12-14,104.659462,105.470779,103.983368,104.749611,83.463318,2628431
2017-12-15,104.389023,105.290489,104.253807,104.974976,83.642891,5749514
2017-12-18,105.876434,107.634277,105.831360,107.453987,85.618134,3162259
2017-12-19,107.904716,108.670959,107.003258,107.003258,85.259003,2273947
2017-12-20,107.363846,107.724426,105.335556,105.560921,84.109756,2355456
2017-12-21,105.651070,106.191948,104.659462,106.056725,84.504814,1884432
2017-12-22,105.741219,106.417313,105.741219,105.876434,84.361160,1434778
2017-12-27,106.056725,106.552528,105.560921,106.372238,84.756203,1219953
2017-12-28,106.237015,106.237015,105.245415,105.290489,83.894279,1278482
2017-12-29,105.200340,105.560921,104.524246,104.704536,83.427406,1381345
2018-01-02,104.479172,104.749611,102.964722,103.884209,82.773773,2973145
2018-01-03,104.425087,105.596985,104.352966,105.002022,83.664436,2753898
2018-01-04,105.867416,108.319389,105.651070,107.868660,85.948547,4003075
2018-01-05,108.048950,109.437202,107.634277,108.283333,86.278946,2482415
2018-01-08,108.968437,109.274940,108.157127,109.076614,86.911026,2387301
2018-01-09,109.202820,110.230484,109.112679,109.617493,87.342003,2813423
2018-01-10,109.599464,109.707642,108.265305,108.535744,86.480064,2224640
2018-01-11,108.986473,109.761726,108.445595,108.734062,86.638084,2407496
2018-01-12,109.292969,110.374718,109.040558,110.374718,87.945343,2639323
2018-01-15,110.518951,110.717270,109.960045,110.068222,87.701134,1737442
2018-01-16,110.428802,111.943260,110.212456,110.879539,88.347565,3201667
2018-01-17,110.068222,110.915596,109.671577,110.158371,87.772949,2511736
2018-01-18,110.645157,111.438438,110.032166,110.879539,88.347565,2409866
2018-01-19,110.879539,112.285812,110.843475,111.510559,88.850365,3056374
2018-01-22,111.690849,112.195663,111.492531,112.105522,89.324425,1941850
2018-01-23,112.808662,113.313477,112.321869,112.808662,89.884674,2828277
2018-01-24,113.133186,113.187271,110.843475,110.897568,88.361946,2665176
2018-01-25,110.627129,111.149971,108.968437,110.032166,87.672401,3182074
2018-01-26,109.978073,110.248512,108.481651,109.130707,86.954124,3082129
2018-01-29,109.653549,109.978073,108.986473,109.130707,86.954124,2125598
2018-01-30,108.986473,109.797783,108.643913,109.238876,87.040321,3241165
2018-01-31,110.789391,110.861504,109.166763,110.122307,87.744240,4869858
2018-02-01,107.868660,107.994865,105.020050,105.200340,86.736725,4298294
2018-02-02,105.038078,105.200340,103.379395,103.559685,85.384018,3251692
2018-02-05,102.964722,103.126984,101.991142,102.225525,84.284012,3549553
2018-02-06,99.160561,101.937057,97.808372,100.494720,82.856979,6941544
2018-02-07,101.342094,101.774796,100.368515,101.233917,83.466446,3893346
2018-02-08,100.350487,100.855301,97.952606,98.709831,81.385353,4583497
2018-02-09,98.259102,99.052383,95.915306,96.474213,79.542107,5322847
2018-02-12,97.808372,98.745888,97.231438,97.880486,80.701584,3306896
2018-02-13,97.610046,98.205009,97.321587,97.321587,80.240768,2468538
2018-02-14,98.421364,99.070412,96.221802,98.511513,81.221855,3831980
2018-02-15,99.629318,100.296402,98.691803,99.250710,81.831306,2828531
2018-02-16,100.062019,100.386543,99.340851,100.224281,82.634010,3325433
2018-02-19,101.161804,101.288002,99.719467,99.935814,82.396172,1639650
2018-02-20,100.152168,101.576469,99.611290,101.179832,83.421852,2840210
2018-02-21,101.197861,101.251945,99.827637,100.170197,82.589417,2479019
2018-02-22,99.340851,100.116112,98.439392,99.647346,82.158333,2966769
2018-02-23,100.007935,100.206253,99.340851,99.809608,82.292114,1512777
2018-02-26,100.386543,100.620926,99.449028,99.881729,82.351585,1989614
2018-02-27,99.881729,100.025963,98.385307,98.709831,81.385353,2841687
2018-02-28,98.457420,98.691803,97.610046,97.754280,80.597511,2494558
2018-03-01,97.357643,97.700195,95.680923,96.059540,79.200218,3925445
2018-03-02,94.977791,95.031876,92.327499,92.832314,76.539398,5740289
2018-03-05,92.093117,94.076324,92.039032,93.751801,77.297508,3128730
2018-03-06,94.635231,95.067932,93.481361,93.715744,77.267776,2377692
2018-03-07,93.156837,94.527061,92.688080,94.148445,77.624535,2572548
2018-03-08,94.130417,95.464577,93.607567,95.140053,78.442116,2474647
2018-03-09,95.554726,95.861221,94.761436,95.284286,78.561020,2588767
2018-03-12,96.185745,96.474213,95.608810,96.275887,79.378593,2070851
2018-03-13,96.275887,96.654503,94.400856,94.743408,78.115074,2625398
2018-03-14,94.472969,95.428520,94.292679,94.941727,78.278587,2671670
2018-03-15,95.103989,96.005455,94.941727,95.735016,78.932648,2941129
2018-03-16,96.438148,96.979027,95.771072,96.600418,79.646172,9043714
2018-03-19,96.041512,96.239830,94.563118,94.977791,78.308327,2827791
2018-03-20,94.563118,95.464577,94.292679,95.392456,78.650208,1826217
2018-03-21,95.735016,96.690559,95.446548,95.662895,78.873192,2280475
2018-03-22,94.743408,95.464577,92.219322,93.084724,76.747505,4375717
2018-03-23,92.327499,92.543846,90.885162,91.444069,75.394806,4099601
2018-03-26,91.696472,92.111145,89.947639,90.488518,74.606964,2776987
2018-03-27,92.129173,93.030632,91.642387,91.768593,75.662369,3192700
2018-03-28,90.957275,92.219322,90.182022,92.219322,76.033989,3370440
2018-03-29,92.219322,93.896034,92.057060,93.319099,76.940750,3039514
2018-04-03,92.543846,93.012604,91.552238,91.948883,75.811020,2811642
2018-04-04,92.039032,92.345528,89.992714,91.173630,75.171829,3174747
2018-04-05,92.633995,94.743408,92.435669,94.382828,77.817780,3651008
2018-04-06,93.859978,94.382828,93.138809,94.202530,77.669136,2699123
2018-04-09,94.653259,95.572754,94.148445,94.653259,78.040756,2063935
2018-04-10,95.103989,95.572754,94.563118,94.923698,78.263733,2071518
2018-04-11,94.292679,94.400856,93.102753,93.643623,77.208313,2236686
2018-04-12,93.409248,94.563118,93.120781,94.400856,77.832642,1940653
2018-04-13,94.653259,95.554726,94.382828,94.527061,77.936699,2158842
2018-04-16,94.599174,94.797493,93.787865,93.932091,77.446152,1941077
2018-04-17,94.166473,95.608810,93.968155,95.248222,78.531303,2219185
2018-04-18,95.013847,95.843185,94.869614,95.608810,78.828590,1775046
2018-04-19,96.203773,97.393700,96.095596,97.015083,79.988052,2959527
2018-04-20,97.177345,97.754280,96.960999,97.628082,80.493477,3353099
2018-04-23,97.537933,98.132896,97.015083,97.790344,80.627258,1800519
2018-04-24,97.664139,97.970634,95.410484,95.807129,78.992104,3168015
2018-04-25,94.761436,94.977791,93.138809,94.490997,77.906975,3537782
2018-04-26,94.472969,94.671288,93.805893,94.418884,77.847511,2538133
2018-04-27,94.833557,95.248222,94.112389,95.085960,78.397514,1897049
2018-04-30,94.292679,95.248222,94.220558,95.230194,78.516418,1895045
2018-05-02,95.554726,97.754280,95.554726,97.501877,80.389412,3413062
2018-05-03,97.267494,97.718224,96.960999,96.979027,79.958328,2237179
2018-05-04,97.357643,98.439392,96.618446,98.385307,81.117798,2500191
2018-05-07,98.259102,99.142532,97.970634,98.890121,81.534012,1439939
2018-05-08,98.601654,99.485085,98.565598,99.431000,81.979950,2207000
2018-05-09,102.928665,104.352966,102.802460,103.307274,85.175911,5535684
2018-05-10,103.974358,105.056107,103.758003,104.479172,86.142128,2567257
2018-05-11,104.749611,104.857788,103.559685,104.118591,85.844833,2226313
2018-05-14,104.298882,104.497200,103.667854,104.100555,85.829956,1666293
2018-05-15,104.064499,105.020050,103.974358,104.731583,86.350250,2315329
2018-05-16,104.983994,105.849388,104.911873,105.452751,86.944839,2229476
2018-05-17,105.290489,106.065742,104.911873,105.975594,87.375908,2113224
2018-05-18,105.975594,106.588585,105.633041,105.957565,87.361053,3491809
2018-05-21,105.957565,105.957565,105.957565,105.957565,87.361053,0
2018-05-22,106.354210,106.859024,105.903481,106.191948,87.554291,2229062
2018-05-23,105.903481,106.155884,104.262825,104.875816,86.469154,2783836
2018-05-24,104.623405,105.416687,103.145012,103.541656,85.369156,2696523
2018-05-25,104.046471,104.551292,103.235161,104.154648,85.874557,2199020
2018-05-28,104.821724,105.182312,102.495964,102.838516,84.789413,1750755
2018-05-29,101.882965,102.676254,101.035599,101.774796,83.912392,3529421
2018-05-30,101.864937,102.081291,100.747131,102.081291,84.165100,3172416
2018-05-31,102.207497,102.550049,100.007935,100.512749,82.871849,4571410
2018-06-01,101.233917,102.027199,100.891365,101.864937,83.986717,2585263
2018-06-04,102.495964,102.730339,101.630562,101.991142,84.090775,1453093
2018-06-05,101.991142,103.397423,101.594498,102.045235,84.135368,2109609
2018-06-06,101.937057,102.622162,101.215889,101.937057,84.046181,2168457
2018-06-07,102.333694,102.640198,101.684647,102.315666,84.358337,1663240
2018-06-08,101.414207,103.036835,100.747131,102.586105,84.581306,2443230
2018-06-11,103.379395,104.551292,103.018806,104.280853,85.978622,2443960
2018-06-12,104.749611,105.056107,104.064499,104.461143,86.127266,2194199
2018-06-13,104.497200,107.598221,103.920265,106.967201,88.193481,4724496
2018-06-14,106.372238,109.148735,106.228004,108.806175,89.709702,5116175
2018-06-15,108.986473,109.310997,107.165520,107.832603,88.906998,8049910
2018-06-18,107.255669,107.580193,106.209976,106.732819,88.000237,2318856
2018-06-19,105.506836,105.651070,104.298882,104.857788,86.454292,3048961
2018-06-20,105.272453,105.596985,104.713554,105.056107,86.617805,2320050
2018-06-21,105.272453,105.506836,103.072891,103.469536,85.309692,3149571
2018-06-22,103.361359,104.947929,103.289246,104.839752,86.439423,2454467
2018-06-25,103.902237,104.244797,101.973114,101.973114,84.075905,2582402
2018-06-26,102.405815,102.676254,100.620926,101.071655,83.332664,2258522
2018-06-27,101.251945,103.812096,100.007935,102.946693,84.878609,3089755
2018-06-28,102.532021,103.397423,100.656982,101.251945,83.481308,2670989
2018-06-29,101.846909,102.676254,101.612534,102.063263,84.150230,2793269
2018-07-02,100.602898,102.658226,100.314430,101.486328,83.674561,2436744
2018-07-03,101.901001,103.271217,101.684647,102.712311,84.685364,1749441
2018-07-04,102.676254,102.982750,101.973114,102.982750,84.908348,1382293
2018-07-05,102.694283,104.082527,102.604134,103.397423,85.250237,2286710
2018-07-06,103.848152,103.920265,102.766396,103.739975,85.532677,2247219
2018-07-09,104.479172,104.677490,103.072891,104.407059,86.082664,1799041
2018-07-10,104.479172,106.300117,104.208733,105.831360,87.256996,2024420
2018-07-11,104.713554,105.038078,103.974358,104.226761,85.934021,2309869
2018-07-12,104.569321,104.965958,104.028442,104.965958,86.543472,1459010
2018-07-13,104.983994,105.813332,104.893845,105.146255,86.692139,1585720
2018-07-16,104.875816,106.137856,104.821724,105.164284,86.706993,1191857
2018-07-17,104.875816,106.029686,104.298882,105.615013,87.078629,1766762
2018-07-18,105.867416,106.696762,105.596985,106.696762,87.970520,1604329
2018-07-19,106.822968,107.670341,106.101799,106.354210,87.688072,1980685
2018-07-20,106.372238,106.606621,104.154648,105.290489,86.811043,3122837
2018-07-23,104.821724,105.506836,104.659462,105.380630,86.885368,1193253
2018-07-24,105.741219,107.291725,105.344574,106.606621,87.896194,1963517
2018-07-25,106.516472,107.057350,105.831360,106.029686,87.420517,1783911
2018-07-26,106.913116,108.679977,106.804939,108.517708,89.471863,2899906
2018-07-27,109.058586,109.491287,108.571800,108.878296,89.769165,2090429
2018-07-30,108.643913,108.878296,108.066978,108.445595,89.412399,1224903
2018-07-31,108.607857,109.473259,108.030922,108.860268,89.754303,2013498
2018-08-01,109.130707,109.707642,107.868660,108.012894,89.055649,2461195
2018-08-02,104.785667,104.911873,102.135376,102.946693,84.878609,5058950
2018-08-03,102.946693,103.217133,100.675011,101.089684,83.347511,3599149
2018-08-06,100.801216,101.576469,99.863701,100.693039,83.020500,2879188
2018-08-07,100.711067,101.720703,100.638954,101.288002,83.511032,2363169
2018-08-08,101.053627,101.810852,100.801216,100.963478,83.243462,1812176
2018-08-09,100.711067,101.594498,100.422607,101.288002,83.511032,1728526
2018-08-10,100.656982,100.855301,99.449028,99.647346,82.158333,3164148
2018-08-13,99.755524,100.296402,99.412971,99.467056,82.009689,1849906
2018-08-14,99.755524,100.260338,99.016327,99.791580,82.277245,2086492
2018-08-15,100.152168,100.729103,98.403336,98.944206,81.578590,3065651
2018-08-16,99.232674,99.737495,98.872093,99.232674,81.816444,1867700
2018-08-17,99.412971,99.593262,98.529541,99.160561,81.756981,1818782
2018-08-20,99.250710,100.458664,99.160561,99.881729,82.351585,1452662
2018-08-21,99.431000,100.350487,99.268738,99.755524,82.247520,1768578
2018-08-22,99.412971,100.765160,99.412971,100.062019,82.500229,1584708
2018-08-23,99.773552,101.468300,99.773552,100.819244,83.124550,1807329
2018-08-24,101.089684,101.450272,100.566833,101.197861,83.436714,1440472
2018-08-27,101.540413,102.351730,100.981506,102.027199,84.120499,1278054
2018-08-28,102.477936,102.874573,102.153404,102.153404,84.224548,1589366
2018-08-29,102.423843,102.712311,102.027199,102.532021,84.536713,1266640
2018-08-30,102.369759,102.387787,101.125740,102.063263,84.150230,1430896
2018-08-31,101.702675,101.882965,100.620926,100.945450,83.228615,2218843
2018-09-03,100.747131,101.071655,99.881729,100.422607,82.797531,1145363
2018-09-04,100.693039,100.819244,98.818008,99.178589,81.771851,1780865
2018-09-05,99.016327,99.250710,97.862457,97.916550,80.731300,2814813
2018-09-06,97.736252,98.637711,97.519905,97.844429,80.671844,2402552
2018-09-07,97.501877,98.295158,97.375671,97.537933,80.419136,2546512
2018-09-10,97.555962,98.096840,97.465813,97.736252,80.582649,2285535
2018-09-11,97.844429,98.277130,96.997055,97.970634,80.775894,2437360
2018-09-12,97.988663,99.160561,97.988663,98.709831,81.385353,1873091
2018-09-13,98.583626,99.232674,98.511513,98.529541,81.236710,1835076
2018-09-14,98.781944,99.160561,97.952606,98.547569,81.251572,2052361
2018-09-17,98.259102,98.763916,98.024719,98.259102,81.013741,1723884
2018-09-18,98.042747,99.052383,97.790344,98.331215,81.073181,2046184
2018-09-19,98.511513,98.908150,98.096840,98.457420,81.177238,1623522
2018-09-20,98.186981,99.557205,98.186981,99.232674,81.816444,2584996
2018-09-21,99.593262,99.863701,98.836037,99.376907,81.935349,6721575
2018-09-24,99.431000,100.512749,99.376907,100.098076,82.529953,2511785
2018-09-25,100.152168,101.071655,99.989906,100.584869,82.931305,1824431
2018-09-26,100.963478,101.017570,100.152168,100.512749,82.871849,1696007
2018-09-27,100.062019,100.783188,99.431000,100.512749,82.871849,1859440
2018-09-28,100.170197,100.494720,99.088448,99.467056,82.009689,3107103
2018-10-01,99.196617,100.080048,99.106476,99.467056,82.009689,2221991
2018-10-02,97.087204,97.501877,96.023483,96.834793,79.839409,4325000
2018-10-04,96.275887,96.979027,95.446548,96.438148,79.512383,3741592
2018-10-05,96.239830,96.492241,94.797493,95.013847,78.338043,2804783
2018-10-08,94.653259,94.869614,94.256622,94.454941,77.877243,2432577
2018-10-09,94.400856,94.797493,93.066696,94.220558,77.683990,2811508
2018-10-10,93.950127,94.238594,92.183266,92.399612,76.182648,3481925
2018-10-11,91.317863,91.750565,90.308228,90.596695,74.696144,4341682
2018-10-12,91.768593,92.327499,89.902573,89.929611,74.146141,3174134
2018-10-15,89.893555,90.614723,89.289574,90.596695,74.696144,2167046
2018-10-16,90.795013,92.002968,90.524574,91.750565,75.647514,2494701
2018-10-17,91.840706,92.597931,91.299835,92.183266,76.004265,2426582
2018-10-18,92.435669,93.228958,91.317863,91.371948,75.335342,2378424
2018-10-19,91.660416,91.696472,90.037788,90.236107,74.398842,3791446
2018-10-22,91.588303,91.786621,90.236107,90.362312,74.502914,2323582
2018-10-23,89.605087,90.218079,88.802788,89.641144,73.908302,3583341
2018-10-24,89.803406,91.750565,89.551003,90.127937,74.309654,3132518
2018-10-25,89.406769,91.624359,88.892937,91.281799,75.261017,3096626
2018-10-26,90.650780,90.993340,88.910965,90.218079,74.383987,3669828
2018-10-29,90.867134,92.706108,90.236107,91.570267,75.498848,2752301
2018-10-30,92.381584,92.381584,89.974686,90.272171,74.428589,3141527
2018-10-31,91.353920,92.327499,91.227715,91.696472,75.602905,3881603
2018-11-01,91.462097,92.814285,91.119537,91.642387,75.558319,2556547
2018-11-02,92.633995,93.769829,92.273407,92.561874,76.316422,3135229
